Country,League,Season,Date,Time,Home,Away,HG,AG,Res,Number
USA,MLS,2019,14/04/2019,0:30,New England Revolution,Atlanta United,0,2,A,70
USA,MLS,2019,14/04/2019,1:00,FC Dallas,Portland Timbers,2,1,H,71
USA,MLS,2019,14/04/2019,2:00,Colorado Rapids,DC United,2,3,A,72
USA,MLS,2019,14/04/2019,2:00,Real Salt Lake,Orlando City,2,1,H,73
USA,MLS,2019,14/04/2019,3:30,Los Angeles FC,FC Cincinnati,2,0,H,74
USA,MLS,2019,14/04/2019,3:30,Los Angeles Galaxy,Philadelphia Union,2,0,H,75
USA,MLS,2019,15/04/2019,0:00,Sporting Kansas City,New York Red Bulls,2,2,D,76
USA,MLS,2019,18/04/2019,3:00,Vancouver Whitecaps,Los Angeles FC,1,0,H,77
USA,MLS,2019,20/04/2019,0:30,FC Cincinnati,Real Salt Lake,0,3,A,78
USA,MLS,2019,20/04/2019,1:00,Toronto FC,Minnesota United,4,3,H,79
USA,MLS,2019,20/04/2019,4:00,Los Angeles Galaxy,Houston Dynamo,2,1,H,80
USA,MLS,2019,20/04/2019,18:00,Chicago Fire,Colorado Rapids,4,1,H,81
USA,MLS,2019,20/04/2019,18:00,Philadelphia Union,Montreal Impact,3,0,H,82
USA,MLS,2019,20/04/2019,20:00,Orlando City,Vancouver Whitecaps,1,0,H,83
USA,MLS,2019,20/04/2019,21:00,Atlanta United,FC Dallas,1,2,A,84
USA,MLS,2019,21/04/2019,0:30,Columbus Crew,Portland Timbers,1,3,A,85
USA,MLS,2019,21/04/2019,0:30,New England Revolution,New York Red Bulls,1,0,H,86
USA,MLS,2019,21/04/2019,3:00,San Jose Earthquakes,Sporting Kansas City,4,1,H,87
USA,MLS,2019,21/04/2019,21:00,DC United,New York City,0,2,A,88
USA,MLS,2019,22/04/2019,0:00,Los Angeles FC,Seattle Sounders,4,1,H,89
USA,MLS,2019,25/04/2019,0:00,New York City,Chicago Fire,1,0,H,90
USA,MLS,2019,25/04/2019,0:30,Columbus Crew,DC United,0,1,A,91
USA,MLS,2019,25/04/2019,0:30,New England Revolution,Montreal Impact,0,3,A,92
USA,MLS,2019,25/04/2019,1:00,Minnesota United,Los Angeles Galaxy,0,0,D,93
USA,MLS,2019,25/04/2019,3:30,Seattle Sounders,San Jose Earthquakes,2,2,D,94
USA,MLS,2019,27/04/2019,18:00,New York City,Orlando City,1,1,D,95
USA,MLS,2019,27/04/2019,20:00,Toronto FC,Portland Timbers,1,2,A,96
USA,MLS,2019,27/04/2019,20:30,FC Dallas,San Jose Earthquakes,0,0,D,97
USA,MLS,2019,27/04/2019,22:00,Vancouver Whitecaps,Philadelphia Union,1,1,D,98
USA,MLS,2019,27/04/2019,23:00,Atlanta United,Colorado Rapids,1,0,H,99
USA,MLS,2019,28/04/2019,0:00,New York Red Bulls,FC Cincinnati,1,0,H,100
USA,MLS,2019,28/04/2019,1:30,Houston Dynamo,Columbus Crew,2,0,H,101
USA,MLS,2019,28/04/2019,1:30,Sporting Kansas City,New England Revolution,4,4,D,102
USA,MLS,2019,28/04/2019,17:30,Montreal Impact,Chicago Fire,1,0,H,103
USA,MLS,2019,28/04/2019,18:30,Minnesota United,DC United,1,0,H,104
USA,MLS,2019,28/04/2019,20:30,Seattle Sounders,Los Angeles FC,1,1,D,105
USA,MLS,2019,29/04/2019,1:00,Los Angeles Galaxy,Real Salt Lake,2,1,H,106
