Country,League,Season,Date,Time,Home,Away,HG,AG,Res,Number
USA,MLS,2019,18/08/2019,0:30,FC Cincinnati,New York City,1,4,A,305
USA,MLS,2019,18/08/2019,0:30,Montreal Impact,FC Dallas,3,3,D,306
USA,MLS,2019,18/08/2019,1:00,Chicago Fire,Philadelphia Union,2,0,H,307
USA,MLS,2019,18/08/2019,1:00,Minnesota United,Orlando City,1,1,D,308
USA,MLS,2019,18/08/2019,1:30,Sporting Kansas City,San Jose Earthquakes,2,1,H,309
USA,MLS,2019,18/08/2019,2:00,Houston Dynamo,Colorado Rapids,2,2,D,310
USA,MLS,2019,18/08/2019,3:00,Los Angeles Galaxy,Seattle Sounders,2,2,D,311
USA,MLS,2019,18/08/2019,3:00,Real Salt Lake,Los Angeles FC,0,2,A,312
USA,MLS,2019,18/08/2019,3:00,Vancouver Whitecaps,DC United,1,0,H,313
USA,MLS,2019,19/08/2019,3:00,Portland Timbers,Atlanta United,0,2,A,314
USA,MLS,2019,22/08/2019,0:00,New York City,Columbus Crew,1,0,H,315
USA,MLS,2019,22/08/2019,1:00,DC United,New York Red Bulls,1,2,A,316
USA,MLS,2019,22/08/2019,3:30,Los Angeles FC,San Jose Earthquakes,4,0,H,317
USA,MLS,2019,23/08/2019,2:30,Sporting Kansas City,Minnesota United,1,0,H,318
USA,MLS,2019,24/08/2019,1:00,Orlando City,Atlanta United,0,1,A,319
USA,MLS,2019,24/08/2019,3:00,Portland Timbers,Seattle Sounders,1,2,A,320
USA,MLS,2019,25/08/2019,0:00,New York City,New York Red Bulls,2,1,H,321
USA,MLS,2019,25/08/2019,0:30,New England Revolution,Chicago Fire,2,1,H,322
USA,MLS,2019,25/08/2019,0:30,Philadelphia Union,DC United,3,1,H,323
USA,MLS,2019,25/08/2019,0:30,Toronto FC,Montreal Impact,2,1,H,324
USA,MLS,2019,25/08/2019,3:00,Real Salt Lake,Colorado Rapids,2,0,H,325
USA,MLS,2019,25/08/2019,3:00,San Jose Earthquakes,Vancouver Whitecaps,3,1,H,326
USA,MLS,2019,25/08/2019,23:00,FC Cincinnati,Columbus Crew,1,3,A,327
USA,MLS,2019,26/08/2019,1:00,FC Dallas,Houston Dynamo,5,1,H,328
USA,MLS,2019,26/08/2019,3:30,Los Angeles FC,Los Angeles Galaxy,3,3,D,329
USA,MLS,2019,29/08/2019,1:00,Montreal Impact,Vancouver Whitecaps,2,1,H,330
USA,MLS,2019,1/9/2019,0:00,New York Red Bulls,Colorado Rapids,0,2,A,331
USA,MLS,2019,1/9/2019,0:30,Columbus Crew,Chicago Fire,1,1,D,332
USA,MLS,2019,1/9/2019,0:30,Montreal Impact,DC United,0,3,A,333
USA,MLS,2019,1/9/2019,0:30,New England Revolution,Toronto FC,1,1,D,334
USA,MLS,2019,1/9/2019,0:30,Philadelphia Union,Atlanta United,3,1,H,335
USA,MLS,2019,1/9/2019,1:00,FC Dallas,FC Cincinnati,3,1,H,336
USA,MLS,2019,1/9/2019,1:30,Sporting Kansas City,Houston Dynamo,1,0,H,337
USA,MLS,2019,1/9/2019,3:00,Vancouver Whitecaps,New York City,1,3,A,338
USA,MLS,2019,1/9/2019,3:30,Portland Timbers,Real Salt Lake,1,0,H,339
USA,MLS,2019,1/9/2019,3:30,San Jose Earthquakes,Orlando City,3,0,H,340
USA,MLS,2019,1/9/2019,23:30,Seattle Sounders,Los Angeles Galaxy,4,3,H,341
USA,MLS,2019,2/9/2019,3:30,Los Angeles FC,Minnesota United,0,2,A,342
USA,MLS,2019,7/9/2019,20:30,New York City,New England Revolution,2,1,H,343
USA,MLS,2019,8/9/2019,0:30,FC Cincinnati,Toronto FC,1,5,A,344
USA,MLS,2019,8/9/2019,0:30,Orlando City,Los Angeles FC,2,2,D,345
USA,MLS,2019,8/9/2019,2:00,Colorado Rapids,Seattle Sounders,2,0,H,346
USA,MLS,2019,8/9/2019,3:30,Portland Timbers,Sporting Kansas City,2,1,H,347
USA,MLS,2019,12/9/2019,0:00,New York City,Toronto FC,1,1,D,348
USA,MLS,2019,12/9/2019,1:30,Houston Dynamo,Minnesota United,2,0,H,349
USA,MLS,2019,12/9/2019,2:00,Colorado Rapids,Los Angeles Galaxy,2,1,H,350
USA,MLS,2019,12/9/2019,2:30,Real Salt Lake,San Jose Earthquakes,1,0,H,351
USA,MLS,2019,14/09/2019,17:30,New York City,San Jose Earthquakes,2,1,H,352
USA,MLS,2019,14/09/2019,20:30,Chicago Fire,FC Dallas,4,0,H,353
USA,MLS,2019,15/09/2019,0:00,Atlanta United,Columbus Crew,1,3,A,354
USA,MLS,2019,15/09/2019,0:30,Montreal Impact,FC Cincinnati,0,1,A,355
USA,MLS,2019,15/09/2019,0:30,Orlando City,New England Revolution,3,3,D,356
USA,MLS,2019,15/09/2019,0:30,Philadelphia Union,Los Angeles FC,1,1,D,357
USA,MLS,2019,15/09/2019,3:00,Vancouver Whitecaps,Houston Dynamo,2,1,H,358
USA,MLS,2019,15/09/2019,20:30,Portland Timbers,DC United,0,1,A,359
USA,MLS,2019,15/09/2019,22:00,Toronto FC,Colorado Rapids,3,2,H,360
USA,MLS,2019,15/09/2019,22:30,Minnesota United,Real Salt Lake,3,1,H,361
USA,MLS,2019,15/09/2019,23:00,Seattle Sounders,New York Red Bulls,4,2,H,362
USA,MLS,2019,16/09/2019,3:00,Los Angeles Galaxy,Sporting Kansas City,7,2,H,363
USA,MLS,2019,19/09/2019,0:30,FC Cincinnati,Atlanta United,0,2,A,364
USA,MLS,2019,19/09/2019,3:30,Portland Timbers,New York Red Bulls,0,2,A,365
USA,MLS,2019,19/09/2019,3:30,Seattle Sounders,FC Dallas,0,0,D,366
USA,MLS,2019,21/09/2019,20:30,Atlanta United,San Jose Earthquakes,3,1,H,367
USA,MLS,2019,21/09/2019,22:00,Vancouver Whitecaps,Columbus Crew,1,1,D,368
USA,MLS,2019,22/09/2019,0:30,FC Cincinnati,Chicago Fire,0,0,D,369
USA,MLS,2019,22/09/2019,0:30,New England Revolution,Real Salt Lake,0,0,D,370
USA,MLS,2019,22/09/2019,1:30,Houston Dynamo,Orlando City,2,1,H,371
USA,MLS,2019,22/09/2019,1:30,Sporting Kansas City,Colorado Rapids,2,3,A,372
USA,MLS,2019,22/09/2019,3:30,Los Angeles FC,Toronto FC,1,1,D,373
USA,MLS,2019,22/09/2019,3:30,Los Angeles Galaxy,Montreal Impact,2,1,H,374
USA,MLS,2019,22/09/2019,20:55,Portland Timbers,Minnesota United,0,0,D,375
USA,MLS,2019,22/09/2019,23:00,FC Dallas,New York City,1,1,D,376
USA,MLS,2019,22/09/2019,23:30,New York Red Bulls,Philadelphia Union,2,0,H,377
USA,MLS,2019,23/09/2019,1:00,DC United,Seattle Sounders,2,0,H,378
USA,MLS,2019,26/09/2019,0:00,New York City,Atlanta United,4,1,H,379
USA,MLS,2019,26/09/2019,1:00,Minnesota United,Sporting Kansas City,2,1,H,380
USA,MLS,2019,26/09/2019,2:30,Real Salt Lake,Los Angeles Galaxy,1,2,A,381
USA,MLS,2019,26/09/2019,3:30,Los Angeles FC,Houston Dynamo,3,1,H,382
USA,MLS,2019,26/09/2019,3:30,Portland Timbers,New England Revolution,2,2,D,383
USA,MLS,2019,26/09/2019,4:00,San Jose Earthquakes,Philadelphia Union,1,2,A,384
USA,MLS,2019,29/09/2019,22:00,Chicago Fire,Toronto FC,2,2,D,385
USA,MLS,2019,29/09/2019,22:00,Columbus Crew,Philadelphia Union,2,0,H,386
USA,MLS,2019,29/09/2019,22:00,FC Cincinnati,Orlando City,1,1,D,387
USA,MLS,2019,29/09/2019,22:00,Montreal Impact,Atlanta United,1,1,D,388
USA,MLS,2019,29/09/2019,22:00,New England Revolution,New York City,2,0,H,389
USA,MLS,2019,29/09/2019,22:00,New York Red Bulls,DC United,0,0,D,390
USA,MLS,2019,30/09/2019,0:30,Colorado Rapids,FC Dallas,3,0,H,391
USA,MLS,2019,30/09/2019,0:30,Los Angeles Galaxy,Vancouver Whitecaps,3,4,A,392
USA,MLS,2019,30/09/2019,0:30,Minnesota United,Los Angeles FC,1,1,D,393
USA,MLS,2019,30/09/2019,0:30,Real Salt Lake,Houston Dynamo,2,1,H,394
USA,MLS,2019,30/09/2019,0:30,San Jose Earthquakes,Seattle Sounders,0,1,A,395
USA,MLS,2019,30/09/2019,0:30,Sporting Kansas City,Portland Timbers,2,2,D,396
USA,MLS,2019,6/10/2019,21:00,Atlanta United,New England Revolution,3,1,H,397
USA,MLS,2019,6/10/2019,21:00,DC United,FC Cincinnati,0,0,D,398
USA,MLS,2019,6/10/2019,21:00,FC Dallas,Sporting Kansas City,6,0,H,399
USA,MLS,2019,6/10/2019,21:00,Houston Dynamo,Los Angeles Galaxy,4,2,H,400
USA,MLS,2019,6/10/2019,21:00,Los Angeles FC,Colorado Rapids,3,1,H,401
USA,MLS,2019,6/10/2019,21:00,Montreal Impact,New York Red Bulls,3,0,H,402
USA,MLS,2019,6/10/2019,21:00,Orlando City,Chicago Fire,2,5,A,403
USA,MLS,2019,6/10/2019,21:00,Philadelphia Union,New York City,1,2,A,404
USA,MLS,2019,6/10/2019,21:00,Portland Timbers,San Jose Earthquakes,3,1,H,405
USA,MLS,2019,6/10/2019,21:00,Seattle Sounders,Minnesota United,1,0,H,406
USA,MLS,2019,6/10/2019,21:00,Toronto FC,Columbus Crew,1,0,H,407
USA,MLS,2019,6/10/2019,21:00,Vancouver Whitecaps,Real Salt Lake,0,1,A,408
USA,MLS,2019,19/10/2019,18:00,Atlanta United,New England Revolution,1,0,H,409
USA,MLS,2019,19/10/2019,20:30,Seattle Sounders,FC Dallas,3,3,D,410
USA,MLS,2019,19/10/2019,23:00,Toronto FC,DC United,1,1,D,411
USA,MLS,2019,20/10/2019,3:00,Real Salt Lake,Portland Timbers,2,1,H,412
USA,MLS,2019,20/10/2019,20:00,Philadelphia Union,New York Red Bulls,3,3,D,413
USA,MLS,2019,21/10/2019,1:30,Minnesota United,Los Angeles Galaxy,1,2,A,414
USA,MLS,2019,24/10/2019,0:00,New York City,Toronto FC,1,2,A,415
USA,MLS,2019,24/10/2019,3:00,Seattle Sounders,Real Salt Lake,2,0,H,416
USA,MLS,2019,25/10/2019,1:00,Atlanta United,Philadelphia Union,2,0,H,417
USA,MLS,2019,25/10/2019,3:30,Los Angeles FC,Los Angeles Galaxy,5,3,H,418
USA,MLS,2019,30/10/2019, 02:00,Los Angeles FC,Seattle Sounders,1,3,A,419
USA,MLS,2019,31/10/2019, 00:00,Atlanta United,Toronto FC,1,2,A,420
USA,MLS,2019,10/11/2019,20:00,Seattle Sounders,Toronto FC,3,1,H,421
USA,MLS,2020,29/02/2020,18:00,DC United,Colorado Rapids,1,2,A,422
USA,MLS,2020,29/02/2020,20:00,Montreal Impact,New England Revolution,2,1,H,423
USA,MLS,2020,29/02/2020,20:30,Houston Dynamo,Los Angeles Galaxy,1,1,D,424
USA,MLS,2020,29/02/2020,22:30,San Jose Earthquakes,Toronto FC,2,2,D,425
USA,MLS,2020,29/02/2020,23:00,FC Dallas,Philadelphia Union,2,0,H,426
USA,MLS,2020,29/02/2020,23:00,Orlando City,Real Salt Lake,0,0,D,427
USA,MLS,2020,1/3/2020,1:00,Nashville SC,Atlanta United,1,2,A,428
USA,MLS,2020,1/3/2020,3:30,Vancouver Whitecaps,Sporting Kansas City,1,3,A,429
USA,MLS,2020,1/3/2020,17:30,Columbus Crew,New York City,1,0,H,430
USA,MLS,2020,1/3/2020,18:00,New York Red Bulls,FC Cincinnati,3,2,H,431
USA,MLS,2020,1/3/2020,20:00,Seattle Sounders,Chicago Fire,2,1,H,432
USA,MLS,2020,1/3/2020,22:30,Los Angeles FC,Inter Miami CF,1,0,H,433
USA,MLS,2020,2/3/2020,0:30,Portland Timbers,Minnesota United,1,3,A,434
,,,,,Inter Miami CF,Colorado Rapids,1,1,D,435
